"행정구역","2022년03월_총인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년03월_남자 인구수","2022년03월_여자 인구수","2022년03월_남여 비율"
"전국  (1000000000)","51,610,695","23,590,069","          2.19","25,730,584","25,880,111","          0.99"
"서울특별시  (1100000000)","9,506,778","4,451,444","          2.14","4,613,910","4,892,868","          0.94"
"부산광역시  (2600000000)","3,343,504","1,551,767","          2.15","1,634,958","1,708,546","          0.96"
"대구광역시  (2700000000)","2,380,494","1,068,557","          2.23","1,172,632","1,207,862","          0.97"
"인천광역시  (2800000000)","2,952,699","1,306,725","          2.26","1,478,272","1,474,427","          1.00"
"광주광역시  (2900000000)","1,438,463","648,252","          2.22","711,289","727,174","          0.98"
"대전광역시  (3000000000)","1,450,057","667,934","          2.17","723,361","726,696","          1.00"
"울산광역시  (3100000000)","1,118,010","484,122","          2.31","574,444","543,566","          1.06"
"세종특별자치시  (3600000000)","377,296","156,696","          2.41","188,356","188,940","          1.00"
"경기도  (4100000000)","13,575,936","5,871,380","          2.31","6,832,830","6,743,106","          1.01"
"강원도  (4200000000)","1,539,036","750,531","          2.05","774,522","764,514","          1.01"
"충청북도  (4300000000)","1,597,484","766,005","          2.09","811,004","786,480","          1.03"
"충청남도  (4400000000)","2,119,099","1,007,776","          2.10","1,083,753","1,035,346","          1.05"
"전라북도  (4500000000)","1,782,205","851,558","          2.09","886,928","895,277","          0.99"
"전라남도  (4600000000)","1,829,501","905,818","          2.02","920,971","908,530","          1.01"
"경상북도  (4700000000)","2,619,641","1,281,587","          2.04","1,320,888","1,298,753","          1.02"
"경상남도  (4800000000)","3,303,274","1,510,929","          2.19","1,663,146","1,640,128","          1.01"
"제주특별자치도  (5000000000)","677,218","308,988","          2.19","339,320","337,898","          1.00"
