"행정구역","2022년03월_총인구수","2022년03월_세대수","2022년03월_세대당 인구","2022년03월_남자 인구수","2022년03월_여자 인구수","2022년03월_남여 비율"
"전라북도 전주시 (4511000000)","655,879","294,245","          2.23","322,705","333,174","          0.97"
"전라북도 전주시 완산구 (4511100000)","334,531","152,435","          2.19","162,897","171,634","          0.95"
"전라북도 전주시 완산구 중앙동(4511151000)","7,318","3,863","          1.89","3,664","3,654","          1.00"
"전라북도 전주시 완산구 풍남동(4511153000)","3,995","2,418","          1.65","1,995","2,000","          1.00"
"전라북도 전주시 완산구 노송동(4511160500)","11,690","6,119","          1.91","5,724","5,966","          0.96"
"전라북도 전주시 완산구 완산동(4511163500)","5,372","2,804","          1.92","2,626","2,746","          0.96"
"전라북도 전주시 완산구 동서학동(4511165000)","6,263","3,206","          1.95","3,082","3,181","          0.97"
"전라북도 전주시 완산구 서서학동(4511166000)","8,551","4,475","          1.91","4,195","4,356","          0.96"
"전라북도 전주시 완산구 중화산1동(4511167100)","14,303","6,405","          2.23","6,877","7,426","          0.93"
"전라북도 전주시 완산구 중화산2동(4511167200)","19,661","9,181","          2.14","9,849","9,812","          1.00"
"전라북도 전주시 완산구 서신동(4511168000)","40,706","17,499","          2.33","19,760","20,946","          0.94"
"전라북도 전주시 완산구 평화1동(4511169100)","12,775","7,219","          1.77","6,142","6,633","          0.93"
"전라북도 전주시 완산구 평화2동(4511169200)","45,636","18,825","          2.42","21,985","23,651","          0.93"
"전라북도 전주시 완산구 삼천1동(4511170100)","11,449","5,093","          2.25","5,570","5,879","          0.95"
"전라북도 전주시 완산구 삼천2동(4511170200)","13,385","6,240","          2.15","6,420","6,965","          0.92"
"전라북도 전주시 완산구 삼천3동(4511170300)","21,821","9,116","          2.39","10,543","11,278","          0.93"
"전라북도 전주시 완산구 효자1동(4511171100)","10,654","4,881","          2.18","5,101","5,553","          0.92"
"전라북도 전주시 완산구 효자2동(4511171200)","9,975","4,622","          2.16","4,760","5,215","          0.91"
"전라북도 전주시 완산구 효자3동(4511171300)","14,650","5,999","          2.44","6,889","7,761","          0.89"
"전라북도 전주시 완산구 효자4동(4511171400)","39,247","16,314","          2.41","19,082","20,165","          0.95"
"전라북도 전주시 완산구 효자5동(4511173000)","37,080","18,156","          2.04","18,633","18,447","          1.01"
"전라북도 전주시 덕진구 (4511300000)","321,348","141,810","          2.27","159,808","161,540","          0.99"
"전라북도 전주시 덕진구 진북동(4511352500)","13,952","6,919","          2.02","6,814","7,138","          0.95"
"전라북도 전주시 덕진구 인후1동(4511354000)","18,233","7,590","          2.40","8,730","9,503","          0.92"
"전라북도 전주시 덕진구 인후2동(4511355000)","11,129","5,968","          1.86","5,532","5,597","          0.99"
"전라북도 전주시 덕진구 인후3동(4511356000)","31,699","14,627","          2.17","15,607","16,092","          0.97"
"전라북도 전주시 덕진구 덕진동(4511357000)","20,923","10,569","          1.98","10,587","10,336","          1.02"
"전라북도 전주시 덕진구 금암1동(4511358000)","7,873","5,384","          1.46","4,308","3,565","          1.21"
"전라북도 전주시 덕진구 금암2동(4511359000)","9,772","5,121","          1.91","4,799","4,973","          0.97"
"전라북도 전주시 덕진구 팔복동(4511360000)","7,450","4,245","          1.76","4,077","3,373","          1.21"
"전라북도 전주시 덕진구 우아1동(4511361100)","12,625","6,067","          2.08","6,300","6,325","          1.00"
"전라북도 전주시 덕진구 우아2동(4511361200)","14,446","7,650","          1.89","7,528","6,918","          1.09"
"전라북도 전주시 덕진구 호성동(4511362000)","19,853","7,981","          2.49","9,487","10,366","          0.92"
"전라북도 전주시 덕진구 송천1동(4511364100)","63,979","23,545","          2.72","31,659","32,320","          0.98"
"전라북도 전주시 덕진구 송천2동(4511364200)","26,070","10,447","          2.50","12,740","13,330","          0.96"
"전라북도 전주시 덕진구 조촌동(4511365000)","12,546","6,347","          1.98","6,444","6,102","          1.06"
"전라북도 전주시 덕진구 여의동(4511366500)","30,556","12,512","          2.44","15,372","15,184","          1.01"
"전라북도 전주시 덕진구 혁신동(4511367000)","20,242","6,838","          2.96","9,824","10,418","          0.94"
"전라북도 전주시효자출장소 (4511800000)","0","0","          0.00","0","0","          0.00"
